title,upload_time,uploader,view_count
Trump joins &#39;Tucker&#39; for first on-camera interview since COVID-19 diagnosis,2020-10-10T01:45:10Z,UCXIJgqnII2ZOINSWNOGFThA,2078015
President Trump holds first in-person White House event since COVID-19 diagnosis and treatment,2020-10-10T18:23:27Z,UCEAZeUIeJs0IjQiqTCdVSIg,173788
President Trump holds first in-person White House event since COVID-19 diagnosis and treatment,2020-10-10T18:23:27Z,UCEAZeUIeJs0IjQiqTCdVSIg,173788
Inside the Lincoln Project&#39;s campaign against President Trump,2020-10-12T02:04:45Z,UCsN32BtMd0IoByjJRNF12cw,2718386
Trump holds first &#39;MAGA&#39; rally since coronavirus diagnosis,2020-10-13T00:14:45Z,UCXIJgqnII2ZOINSWNOGFThA,1310254
"President Trump holds campaign rally in Sanford, Florida",2020-10-13T00:19:28Z,UCEAZeUIeJs0IjQiqTCdVSIg,415648
Trump is Only MENTALLY Ill Now,2020-10-13T04:14:06Z,UCa6vGFO9ty8v5KZJXQxdhaw,1958184
Trump&#39;s Crazy Uncle COVID Plan (30):  “Mr Rogers” Watches TV,2020-10-13T16:21:17Z,UCWxZCnAPS-dypKTRxsEXdbA,123147
Trump holds  &#39;Make America Great Again&#39; rally in Pennsylvania,2020-10-14T01:15:40Z,UCXIJgqnII2ZOINSWNOGFThA,1359919
Why Donald Trump Is Threatening to Kiss You | The Daily Social Distancing Show,2020-10-14T05:00:01Z,UCwWhs_6x42TyRM4Wstoq8HA,1577255
Trump holds &#39;MAGA&#39; rally in Iowa,2020-10-15T01:31:33Z,UCXIJgqnII2ZOINSWNOGFThA,848879
Tin Mới Bầu Cử Tổng Thống Mỹ TT Trump Tuyên bố sẽ đưa mỹ thành siêu cường sản xuất thay Trung Quốc,2020-10-15T09:15:34Z,UCUmRGR3a-g13O6pG927KQmg,148436
Donald Trump Town Hall With Voters | Election 2020 | NBC News,2020-10-16T01:13:42Z,UCeY0bbntWzzVIaj2z3QigXg,3285224
NBC News hosts town hall with President Trump — 10/15/2020,2020-10-16T01:37:26Z,UCrp_UI8XtuYfpiqluWLD7Lw,1873757
NBC News hosts town hall with President Trump — 10/15/2020,2020-10-16T01:41:38Z,UCvJJ_dzjViJCoLf5uKUTwoA,4034296
Trump &amp; Biden&#39;s Dueling Town Halls,2020-10-16T02:11:17Z,UCa6vGFO9ty8v5KZJXQxdhaw,2434375
Highlights From Trump And Biden’s Dueling Town Hall Events | NBC News,2020-10-16T04:45:29Z,UCeY0bbntWzzVIaj2z3QigXg,1928089
Live: Trump Holds Campaign Rally In Georgia | NBC News,2020-10-17T01:25:08Z,UCeY0bbntWzzVIaj2z3QigXg,459743
Ice Cube responds to backlash over Trump collaboration,2020-10-17T03:10:48Z,UCupvZG-5ko_eiXAupbDfxWw,6171346
Trump speaks at event on &#39;Supporting Law Enforcement&#39; in Wisconsin,2020-10-18T01:44:11Z,UCXIJgqnII2ZOINSWNOGFThA,2072459
"🔴 Watch LIVE: President Trump Holds Make America Great Again Rally in Janesville, WI 10/17/20",2020-10-18T02:34:13Z,UCHqC-yWZ1kri4YzwRSt6RGQ,602437
Bầu cử Mỹ 2020 (18/10) | Ông Trump đang dẫn trước ở các bang chiến trường | FBNC,2020-10-18T04:00:02Z,UC7723FqVehXq2zeRb3tP0hQ,573223
Trump&#39;s Border Wall: A Four-Year Saga | The Daily Show,2020-10-19T13:00:31Z,UCwWhs_6x42TyRM4Wstoq8HA,1878747
"Desperate Donald Trump Attacks Dr. Fauci, Dances For Votes On The Campaign Trail",2020-10-20T03:57:32Z,UCMtFAi84ehTSYSE9XoHefig,3042367
"Cập Nhật Bầu Cử Tổng Thống Mỹ Ông Trump lại có chiến thuật mới, Lật ngược thế cờ  ? Tin Thế Giới Mới",2020-10-20T10:30:11Z,UCUmRGR3a-g13O6pG927KQmg,292659
"Trump, et s’il perdait ?  - 28 Minutes - ARTE",2020-10-20T18:45:03Z,UC8EzKGkEiusTm7g0mTfkWkg,251827
Trump delivers remarks at &#39;Make America Great Again&#39; rally in Pennsylvania,2020-10-21T02:29:08Z,UCXIJgqnII2ZOINSWNOGFThA,1109299
President Trump Abruptly Ends Interview With Reporter,2020-10-21T21:12:02Z,UC9k-yiEpRHMNVOnOi_aQK8w,648945
Trump speaks at &#39;Make America Great Again&#39; rally in North Carolina,2020-10-22T00:46:59Z,UCXIJgqnII2ZOINSWNOGFThA,959392
Second 2020 Presidential Debate between Donald Trump and Joe Biden,2020-10-23T02:49:33Z,UCb--64Gl51jIEVE-GLDAVTg,16206087
Final Presidential Debate 2020: Trump and Biden face off at Belmont University (FULL) | USA TODAY,2020-10-23T03:15:39Z,UCP6HGa63sBC7-KHtkme-p-g,215140
President Trump and former VP Joe Biden face off in final presidential debate — 10/22/20,2020-10-23T03:17:15Z,UCvJJ_dzjViJCoLf5uKUTwoA,385799
"Final 2020 Presidential Debate: WATCH LIVE Pres. Trump, Joe Biden go head-to-head | ABC News",2020-10-23T03:36:14Z,UCBi2mrWuNuyYy4gbM6fU18Q,7377436
Dr. Fauci responds to President Trump&#39;s latest attack,2020-10-24T00:37:33Z,UCupvZG-5ko_eiXAupbDfxWw,2100260
"🔴 Watch LIVE: President Trump Holds Make America Great Again Rally in Pensacola, FL 10-23-20",2020-10-24T01:54:10Z,UCHqC-yWZ1kri4YzwRSt6RGQ,743729
Donald Trump Jr. Gets a Little Too Excited in Fox News Interview | The Tonight Show,2020-10-24T03:43:07Z,UC8-Th83bH_thdKZDJCrn88g,3184658
Trump holds &#39;Make America Great Again Victory Rally&#39; in Wisconsin,2020-10-25T02:38:25Z,UCXIJgqnII2ZOINSWNOGFThA,750967
"🔴 Watch LIVE: President Trump Holds Make America Great Again Rally in Waukesha, WI 10-24-20",2020-10-25T03:18:05Z,UCHqC-yWZ1kri4YzwRSt6RGQ,830507
Why did Trump abruptly exit his 60 Minutes interview with Lesley Stahl?,2020-10-26T00:01:46Z,UCsN32BtMd0IoByjJRNF12cw,3721450
The U.S. Presidential Election: Can Donald Trump once again defy the polls? | Four Corners,2020-10-26T10:15:05Z,UCxcrzzhQDj5zKJbXfIscCtg,1562166
Donald and Melania Trump: A Love Story for the Ages | The Daily Social Distancing Show,2020-10-26T13:00:10Z,UCwWhs_6x42TyRM4Wstoq8HA,4463428
Donald and Melania Trump: A Love Story for the Ages | The Daily Social Distancing Show,2020-10-26T13:00:10Z,UCwWhs_6x42TyRM4Wstoq8HA,4463428
President Donald Trump: The 60 Minutes 2020 Election Interview,2020-10-26T15:09:43Z,UCsN32BtMd0IoByjJRNF12cw,7781021
