title,upload_time,uploader,view_count
Trump x Biden: o que eles propõem para os EUA e o mundo?,2020-10-28T22:30:38Z,UCthbIFAxbXTTQEC7EcQvP1Q,276555
Tucker: Hunter Biden documents suddenly vanish,2020-10-29T00:53:36Z,UCXIJgqnII2ZOINSWNOGFThA,2067112
Trump ou Biden? A escolha dos brasileiros que votam nos EUA,2020-10-30T00:34:09Z,UCthbIFAxbXTTQEC7EcQvP1Q,41505
Tucker: Hunter Biden documents suddenly reappear,2020-10-30T00:43:06Z,UCXIJgqnII2ZOINSWNOGFThA,2021842
US Election: Rival Trump and Biden supporters clash at Florida rally,2020-10-30T09:52:23Z,UCoMdktPbSTixAyNGwb-UYkQ,513048
Los votos del Colegio Electoral asegurados de Trump y Biden | Noticias con Ciro Gómez Leyva,2020-10-31T05:23:39Z,UCcHtke0raf8vNYLM1Hbq3Jw,46581
Biden And Obama Campaign In Michigan | NBC News,2020-10-31T23:26:57Z,UCeY0bbntWzzVIaj2z3QigXg,925902
Biden Halloween Cold Open - SNL,2020-11-01T06:46:42Z,UCqFzWxSCi39LnW1JKFR3efg,5215977
Young Billy Young,2020-11-01T07:00:05Z,UCuVPpxrm2VAgpH3Ktln4HXg, 
"☑️ JOE BIDEN: el RESUMEN definitivo  | Propuestas, datos, su historia, su pasado...",2020-11-01T09:03:57Z,UCPH3Oz99Y_jrVBCQMjQZNSg,605802
"Trump plays BRUTAL compilation video of Kamala Harris, Joe Biden",2020-11-01T13:30:06Z,UCPWXiRWZ29zrxPFIQT7eHSA,237977
"H-2 Pilpres AS, Joe Biden Berkampanye bersama Barrack Obama",2020-11-02T02:14:54Z,UC5BMIWZe9isJXLZZWPWvBlg,766997
Joe Biden &amp; Lady Gaga + Kamala Harris &amp; John Legend | Election Night 2020 Rally in Pennsylvania,2020-11-03T02:47:50Z,UCWNpXitY8eJ-ku6M-v25MKw,612295
Joe Biden &amp; Lady Gaga + Kamala Harris &amp; John Legend | Election Night 2020 Rally in Pennsylvania,2020-11-03T02:47:50Z,UCWNpXitY8eJ-ku6M-v25MKw,612295
Biden &amp; Trump Make Drastically Different Final Pitches to Voters | The Daily Social Distancing Show,2020-11-03T02:56:00Z,UCwWhs_6x42TyRM4Wstoq8HA,1570986
Joe Biden&#39;s gaffes and funniest moments of the 2020 campaign,2020-11-03T17:00:02Z,UCIzXayRP7-P0ANpq-nD-h5g,245863
Jalife - Joe Biden Contra México,2020-11-03T17:24:13Z,UCrDRyUWlxGgyZuADemVAW4Q,1032164
President Barack Obama Facetimes Joe Biden Voters | Election Day | Joe Biden For President 2020,2020-11-03T19:10:56Z,UCWNpXitY8eJ-ku6M-v25MKw,241543
Elecciones en EEUU: ¿Quién es Joe Biden? | Semana Noticias,2020-11-03T19:57:46Z,UC4oQAvXFuNlKivYjUynQKTA,12390
ELEIÇÕES EUA: JOE BIDEN é eleito Presidente. Por que TRUMP quer contestar o resultado??,2020-11-03T20:33:28Z,UCOCXti8bC9uE6ws22yBIZLA,434043
ELEIÇÕES EUA: JOE BIDEN é eleito Presidente. Por que TRUMP quer contestar o resultado??,2020-11-03T20:33:28Z,UCOCXti8bC9uE6ws22yBIZLA,434043
Muôn kiểu ủng hộ Trump - Biden của người Mỹ | VTV24,2020-11-04T04:28:34Z,UCabsTV34JwALXKGMqHpvUiA,527320
¿Cómo puede afectar el triunfo de Joe Biden la relación México-EU?,2020-11-04T05:37:02Z,UCFxHplbcoJK9m70c4VyTIxg,17534
"Joe Biden Speaks LIVE on Election Night from Wilmington, Delaware",2020-11-04T05:47:53Z,UCWNpXitY8eJ-ku6M-v25MKw,212297
AMÉRICA DECIDE - Início da apuração da eleição entre Trump e Biden,2020-11-04T06:18:21Z,UCvdwhh_fDyWccR42-rReZLw,1336404
"Jika Joe Biden Menang, Ini Proyeksi Nasib Indonesia di Bawah &#39;Cengkeraman&#39; AS",2020-11-04T07:49:35Z,UCPvi3d3MAILSVKRIU_1Mnkg,323041
"Election Night 2020: Coverage of Trump, Biden and key races | USA TODAY",2020-11-04T08:58:02Z,UCP6HGa63sBC7-KHtkme-p-g,4308305
Joe Biden Koyu Bir &#39;Rum&#39; Yanlısı,2020-11-04T10:00:09Z,UCzgrZ-CndOoylh2_e72nSBQ,31904
Ini Cara Barack Obama Bantu Joe Biden Kampanye Menangi Pilpres AS,2020-11-04T12:30:42Z,UC5BMIWZe9isJXLZZWPWvBlg,462840
"DPR: Jika Joe Biden Menang, Indonesia Alami Kemunduran",2020-11-04T14:12:34Z,UC5BMIWZe9isJXLZZWPWvBlg,777474
Joe Biden Speaks LIVE about the 2020 Election | Joe Biden For President 2020,2020-11-04T21:19:01Z,UCWNpXitY8eJ-ku6M-v25MKw,379693
Joe Biden: &#39;We believe we will be the winners&#39;,2020-11-04T21:35:59Z,UCrp_UI8XtuYfpiqluWLD7Lw,153051
Election 2020: Biden campaign holds a news conference as America&#39;s votes are counted,2020-11-04T21:43:11Z,UCEAZeUIeJs0IjQiqTCdVSIg,54390
A vitória de Biden e o Brasil. Entrevista com Celso Amorim,2020-11-04T22:43:20Z,UCPYIYR0J8ppEJVtR1weLnBw,19194
Jair Bolsonaro alerta para o perigo da vitória de Biden,2020-11-05T01:27:02Z,UCzjtGnD7qqeaHW3nvDVrjQA,710954
"As Biden Nears Victory, Trump Tries to Steal the Election: A Closer Look",2020-11-05T02:38:19Z,UCVTyTA7-g9nopHeHbeuvpRA,3200930
Detik-Detik Akhir Pertarungan Trump Vs Biden,2020-11-05T03:30:01Z,UCGN9JsnkvK05v2lnTI_-uGA,2001406
"WATCH: Election results for Trump, Biden and key swing state races | USA TODAY",2020-11-05T09:31:23Z,UCP6HGa63sBC7-KHtkme-p-g,20702190
"WATCH: Election results for Trump, Biden and key swing state races | USA TODAY",2020-11-05T09:31:23Z,UCP6HGa63sBC7-KHtkme-p-g,20702190
How Trump Reacted to Fox News Calling Arizona for Biden,2020-11-05T23:00:46Z,UC9k-yiEpRHMNVOnOi_aQK8w,553562
Watch Joe Biden&#39;s speech as votes are counted,2020-11-05T23:04:55Z,UCupvZG-5ko_eiXAupbDfxWw,660127
